Mean time,Standard deviation
0.00529559,0.012693

Raw measurements

Timestamp,Measurement
918,0.00170143
919,0.00173777
920,0.00171645
921,0.0016729
922,0.0016663
923,0.00161074
924,0.00158222
925,0.00159243
926,0.00166119
927,0.00171464
928,0.00179002
929,0.0516697
930,0.0534921
931,0.00392176
932,0.00371667
933,0.00228399
934,0.00231642
935,0.00247287
936,0.00214045
937,0.00217799
938,0.00176359
939,0.00180293
940,0.00174978
941,0.00165639
942,0.00179302
943,0.00174317
944,0.00160444
945,0.00159933
946,0.00159303
947,0.0015645
948,0.00168492
949,0.00169423
950,0.00170053
951,0.0018801
952,0.00162366
953,0.00153027
954,0.00157771
955,0.00162636
956,0.00168882
957,0.00168251
958,0.00175819
959,0.00175548
960,0.00211253
961,0.0017768
962,0.00160624
963,0.052115
964,0.00413857
965,0.00402386
966,0.0037581
967,0.00310618
968,0.00299447
969,0.00309777
970,0.00335182
971,0.00192304
972,0.00183056
973,0.00183296
974,0.00158222
975,0.00151946
976,0.00163537
977,0.00169242
978,0.00167861
979,0.0542497
980,0.0541002
981,0.00417701
982,0.00402326
983,0.00240831
984,0.00243894
985,0.0025065
986,0.00190803
987,0.00226117
988,0.00166179
989,0.00164258
990,0.00169242
991,0.00161405
992,0.0016729
993,0.00169092
994,0.00172846
995,0.00166239
996,0.00161855
997,0.00158462
998,0.00158702
999,0.0017747
1000,0.001663
1001,0.001663
1002,0.00172756
1003,0.0016666
1004,0.00164948
1005,0.00171014
1006,0.00165489
1007,0.00172936
1008,0.00171194
1009,0.00163477
1010,0.00164167
1011,0.00165639
1012,0.0015612
1013,0.00162816
1014,0.00179032
1015,0.0020849
1016,0.00153057
1017,0.00165098
1018,0.00165218
1019,0.00157321
1020,0.00175729
1021,0.00158822
1022,0.00159123
1023,0.0016639
1024,0.00174888
1025,0.00171164
1026,0.00175428
1027,0.00164618
1028,0.0522366
1029,0.00517486
1030,0.00431394
1031,0.00228159
1032,0.00288877
1033,0.00171284
1034,0.0537314
1035,0.00411275
1036,0.00282571
1037,0.00253894
1038,0.00276625
1039,0.0023981
1040,0.00168011
1041,0.00164498
1042,0.00154889
1043,0.00164408
1044,0.0537654
1045,0.0042695
1046,0.0543509
1047,0.00392476
1048,0.00357973
1049,0.0527339
1050,0.00357973
1051,0.0538209
1052,0.00431003
1053,0.00400374
1054,0.00298606
1055,0.00295063
1056,0.00294252
1057,0.00180113
1058,0.00176119
1059,0.00182485
1060,0.00178191
1061,0.00180954
1062,0.00178822
1063,0.00174167
1064,0.00209451
1065,0.00178461
1066,0.00182875
1067,0.00181914
1068,0.00168552
1069,0.00172636
1070,0.00155639
1071,0.00164678
1072,0.00176689
1073,0.00165158
1074,0.0016645
1075,0.00168041
1076,0.00160864
1077,0.00170233
1078,0.00158282
1079,0.00165309
1080,0.00165068
1081,0.00170413
1082,0.00170113
1083,0.00171044
1084,0.00175278
1085,0.00168792
1086,0.00171494
1087,0.00171404
1088,0.00168642
1089,0.00173897
1090,0.00165158
1091,0.00167471
1092,0.0017681
1093,0.053642
1094,0.00341458
1095,0.00311399
1096,0.00319296
1097,0.00201914
1098,0.00176029
1099,0.00162936
1100,0.00165759
1101,0.00158792
1102,0.00185037
1103,0.00169483
1104,0.00158132
1105,0.00172576
1106,0.00170113
1107,0.00158762
1108,0.00157861
1109,0.00164708
1110,0.0524702
1111,0.00443585
1112,0.00376231
1113,0.00451453
1114,0.0528762
1115,0.00257107
1116,0.00194256
1117,0.00160024
1118,0.00164888
1119,0.00191494
1120,0.00176269
1121,0.00164978
1122,0.00167741
