Mean time,Standard deviation
0.0175299,0.0188251

Raw measurements

Timestamp,Measurement
800,0.00966538
801,0.0088755
802,0.00874721
803,0.00955718
804,0.00912012
805,0.0605894
806,0.0094832
807,0.0613943
808,0.0132748
809,0.0136618
810,0.0128339
811,0.0130618
812,0.011784
813,0.0116523
814,0.0119961
815,0.0125529
816,0.0122381
817,0.0653475
818,0.00901877
819,0.00879981
820,0.00835719
821,0.00865954
822,0.00842091
823,0.00853766
824,0.00871856
825,0.00868948
826,0.00817501
827,0.00846923
828,0.0090688
829,0.0604778
830,0.00937885
831,0.00939639
832,0.00997585
833,0.00916289
834,0.00809846
835,0.00850943
836,0.0126547
837,0.0128249
838,0.0628953
839,0.0120932
840,0.0116719
841,0.0119841
842,0.01228
843,0.0630967
844,0.0127462
845,0.0129078
846,0.0135314
847,0.0118669
848,0.00852911
849,0.00866681
850,0.00871129
851,0.00842861
852,0.00832127
853,0.00823531
854,0.00889945
855,0.00869589
856,0.00877714
857,0.00881905
858,0.0087224
859,0.00844785
860,0.00879211
861,0.00859539
862,0.00843246
863,0.00893837
864,0.0604782
865,0.00900423
866,0.0130635
867,0.0130507
868,0.0119388
869,0.0120996
870,0.0125174
871,0.0119841
872,0.012147
873,0.0119679
874,0.0122514
875,0.0123472
876,0.0125161
877,0.0119413
878,0.00872411
879,0.00861763
880,0.00860352
881,0.00865312
882,0.00830031
883,0.00854065
884,0.00894051
885,0.0088306
886,0.0613019
887,0.00888235
888,0.00855177
889,0.0101311
890,0.00887978
891,0.00882205
892,0.0606719
893,0.00902133
894,0.0614096
895,0.00927921
896,0.00987365
897,0.00862832
898,0.0132324
899,0.0120735
900,0.0131362
901,0.0630775
902,0.0121325
903,0.0123493
904,0.013016
905,0.012759
906,0.0124537
907,0.012496
908,0.00932924
909,0.00880451
910,0.00838627
911,0.00879553
912,0.00866767
913,0.00879297
914,0.00876303
915,0.0087934
916,0.00838926
917,0.00865526
918,0.00855305
919,0.00847608
920,0.00879596
921,0.00858812
922,0.0084192
923,0.00838713
924,0.0084842
925,0.00859881
926,0.00881777
927,0.0604089
928,0.0125486
929,0.0131614
930,0.115843
931,0.012694
932,0.0133663
933,0.0132996
934,0.0118926
935,0.0127419
936,0.0126743
937,0.0123361
938,0.00878826
939,0.00863345
940,0.0599522
941,0.00875106
942,0.00881307
943,0.0593676
944,0.00862918
945,0.00905469
946,0.00879938
947,0.00880537
948,0.00826139
949,0.00820152
950,0.0082306
951,0.00847437
952,0.0597653
953,0.0605274
954,0.00896146
955,0.0101435
956,0.00930487
957,0.00950031
958,0.0629607
959,0.0122899
960,0.0650562
961,0.0657751
962,0.0138401
963,0.0136229
964,0.0131396
965,0.012298
966,0.0121188
967,0.0124053
968,0.00876089
969,0.00874379
970,0.00946481
971,0.0610487
972,0.0600886
973,0.0100631
974,0.00988134
975,0.0598671
976,0.0133342
977,0.00981976
978,0.0603914
979,0.00994549
980,0.00940836
981,0.00957771
982,0.0613917
983,0.00925312
984,0.00930829
985,0.00926253
986,0.0124511
987,0.0120076
988,0.0121975
989,0.0121881
990,0.0122706
991,0.0130695
992,0.012366
993,0.0119922
994,0.012047
995,0.0123968
996,0.0139368
997,0.0120615
998,0.0087053
999,0.00862704
1000,0.00865569
1001,0.00877757
1002,0.0085043
1003,0.00865141
1004,0.00898712
1005,0.00918341
1006,0.0091723
1007,0.00887593
1008,0.00864243
1009,0.00881221
1010,0.00944728
1011,0.00880195
1012,0.00862276
1013,0.00866467
1014,0.00854022
1015,0.0604876
