Mean time,Standard deviation
0.00440958,0.0112391

Raw measurements

Timestamp,Measurement
543,0.00169483
544,0.00165729
545,0.00245455
546,0.00166269
547,0.00154889
548,0.00152546
549,0.0517117
550,0.00359445
551,0.00408452
552,0.00248308
553,0.00201673
554,0.00151285
555,0.00152546
556,0.00162306
557,0.00159363
558,0.00149033
559,0.00162996
560,0.00152787
561,0.00166269
562,0.00157471
563,0.00154198
564,0.00155069
565,0.00164258
566,0.00170173
567,0.00169873
568,0.00160264
569,0.00159603
570,0.00579166
571,0.0534101
572,0.00381546
573,0.00577454
574,0.00221613
575,0.00191884
576,0.00164468
577,0.00154588
578,0.00165879
579,0.00170053
580,0.00170023
581,0.00161465
582,0.00180053
583,0.00145339
584,0.00163207
585,0.00173867
586,0.00158732
587,0.00166119
588,0.0513469
589,0.00165609
590,0.00413196
591,0.00280919
592,0.00210982
593,0.00160714
594,0.0016711
595,0.00168492
596,0.00158162
597,0.00148312
598,0.00168281
599,0.0015606
600,0.00161735
601,0.00165128
602,0.00170684
603,0.00173176
604,0.00162846
605,0.00172606
606,0.00155219
607,0.00154048
608,0.00163327
609,0.00158552
610,0.0513069
611,0.00361367
612,0.00397762
613,0.00174437
614,0.00180593
615,0.00159243
616,0.00183386
617,0.00152937
618,0.0015606
619,0.00159033
620,0.00162606
621,0.0017717
622,0.00164408
623,0.00161285
624,0.00163537
625,0.00176119
626,0.00163026
627,0.00149664
628,0.00171074
629,0.0015636
630,0.00150745
631,0.00174347
632,0.00169122
633,0.00152937
634,0.00172876
635,0.00157831
636,0.00151736
637,0.00172245
638,0.00150474
639,0.00161945
640,0.00154018
641,0.00167951
642,0.00178731
643,0.0016702
644,0.00164498
645,0.00164528
646,0.00199511
647,0.00163717
648,0.0016633
649,0.00185938
650,0.00178461
651,0.00183236
652,0.00171434
653,0.00158702
654,0.00153958
655,0.00159513
656,0.00159783
657,0.0016666
658,0.00165789
659,0.00216147
660,0.00152666
661,0.00172696
662,0.00158672
663,0.00165729
664,0.00179362
665,0.00151315
666,0.00160564
667,0.00167561
668,0.00168642
669,0.00221522
670,0.00171735
671,0.00163777
672,0.00172515
673,0.00304792
674,0.00162786
675,0.00166179
676,0.00160474
677,0.00161014
678,0.00210262
679,0.00180053
680,0.00163297
681,0.00151525
682,0.00157561
